Rank,Title,Username,Rating,Score,Performance,Team
1,CM,juancruzariasTDF,2580,78,2553,
2,FM,xberli,2489,77,2579,
3,FM,AttackSparrow,2403,73,2393,
4,CM,samidescalona2002,2525,66,2304,
5,,betoking,2328,52,2525,
6,,marcaf,2233,52,2079,
7,,ProfAngel,2390,51,2335,
8,,Elgranconejo,2501,48,2299,
9,,solodefiendo,2486,47,2267,
10,,JaqenHghar36,2287,46,2336,
11,,SmartR,2351,46,2222,
12,,Abjugaor,2315,45,2253,
13,,mpv12,2359,43,2388,
14,,Borcut,2347,43,2379,
15,,voctar,2220,43,2273,
16,,nicoalavar3jaques,2094,41,1974,
17,,SereGM,2331,40,2269,
18,,amateuur,2278,40,2239,
19,,eveyayo,2211,40,2164,
20,FM,LuisFSiles,2455,39,2397,
21,,Diamantesco,2171,38,2221,
22,,mjpm,2050,38,1984,
23,,Mordedorleiva,1884,38,1799,
24,,tomicamu,2177,37,2272,
25,,Darth_Krayt,2242,37,2192,
26,,Foreigner20,2398,37,2187,
27,,herstein23,2210,37,1926,
28,,SaulSerrano,2027,36,2106,
29,,Vanegas,2108,36,2064,
30,,tetrahidrocannabinol,1956,36,1977,
31,,fandeisa,1934,36,1935,
32,,balachess2006,2461,35,2275,
33,,CarlitosCL,2334,35,2233,
34,,PocoOriginal,1963,35,2089,
35,,JuliusPleschke2009,2231,35,2064,
36,,czerjyo,2120,34,2229,
37,,Hugo266,2148,34,2178,
38,,ChessSantiTwitch,2072,34,2061,
39,,joseansp,1890,34,2048,
40,,MapaChess_TV,2089,34,1986,
41,,Erulees,1708,34,1891,
42,,Callfish,1670,34,1755,
43,,Estrellacaida,2131,33,2230,
44,,roadto2249,2056,33,2056,
45,,Sirgomita,2122,33,1989,
46,,jhonatancrACKKKKKKKK,1950,33,1944,
47,,AldoMiguelchess,2105,32,2129,
48,,TakTik19k,1720,32,1798,
49,,Krysaor,2339,31,2316,
50,,Lawlieth7,2316,31,2079,
51,,Covitsalas,2281,31,2054,
52,,Speedygonzalezmx,2226,31,2040,
53,,Silver_Poison,1933,31,2004,
54,,Agustin_LF,1964,31,1966,
55,,d4rkproject,1724,31,1935,
56,,Rodrigocatriel1999,1943,31,1905,
57,,pikachuchess10,1933,31,1863,
58,,Escandor3,1807,31,1824,
59,,PeriHeFe,1899,31,1812,
60,,Demonioamarillo,1705,31,1752,
61,,StefanySofia2003,2196,30,2165,
62,,NightWolf_PY,1936,30,2059,
63,,SANCHEZBERZAIN,2080,30,2053,
64,,Miguelmonjaras9,2010,30,1990,
65,,mlffs1983,1919,30,1887,
66,,cristianmedina03,1568,30,1837,
67,,Nestor-2011,1828,30,1829,
68,,chatungo069,1727,30,1777,
69,,FernandoNietoCapel,1682,30,1747,
70,,Ekaedro,1963,29,1952,
71,,Ian1509,1722,29,1827,
